C,a,b,c,d,e,f,s,x,y,ch,xx,yy,year
LOWER MOUNT ROYAL,142,134,869,1153,1049,1093,C,230,160
MACEWAN GLEN,76,112,210,168,177,130,N,180,-20
MAHOGANY,186,308,201,266,307,291,SE,560,480
MANCHESTER,172,150,365,444,398,361,C,430,180
MAPLE RIDGE,1586,1436,204,204,182,161,SW,300,320
MARLBOROUGH,926,858,1653,1862,1796,1862,NE,530,245
MARLBOROUGH PARK,875,791,1145,1146,1035,1078,NE,630,245
MARTINDALE,18,24,865,1071,1021,993,NE,680,160
MAYFAIR,544,661,31,55,20,32,C,280,220
MAYLAND HEIGHTS,526,495,796,951,890,815,NE,470,260
MCKENZIE LAKE,812,865,696,622,547,480,SE,450,450
MCKENZIE TOWNE,292,372,924,1101,1004,843,SE,500,460
MEADOWLARK PARK,249,230,396,468,465,490,C,350,220
MIDNAPORE,570,658,704,630,574,547,SW,220,420
MILLRISE,263,291,437,371,385,343,SW,160,375
MISSION,700,718,878,812,1009,1032,C,430,120
MONTEREY PARK,495,487,598,620,587,564,NE,770,220
MONTGOMERY,811,721,916,871,856,815,NW,80,40
MOUNT PLEASANT,549,556,640,609,566,666,C,380,25
NEW BRIGHTON,373,333,410,488,411,396,SE,500,430
NOLAN HILL,46,58,108,128,158,188,N,120,-85
OAKRIDGE,196,255,286,229,305,269,SW,80,300
OGDEN,908,958,1100,1141,1009,966,SE,450,380
PALLISER,141,123,173,173,193,186,SW,120,300
PANORAMA HILLS,546,541,740,662,689,795,N,320,-70
PARKDALE,131,163,164,184,197,213,C,180,80
PARKHILL,218,343,308,354,307,256,C,430,160
PARKLAND,139,143,205,153,109,126,SW,270,420
PATTERSON,96,116,147,147,175,175,W,0,85
PENBROOKE MEADOWS,1242,1084,1174,1239,1196,1262,S,620,280
PINERIDGE,1232,1300,1404,1442,1566,1459,NE,700,230
POINT MCKAY,38,26,45,38,47,27,C,500,500
PUMP HILL,65,58,69,88,94,99,SW,160,300
QUEENS PARK VILLAGE,37,40,39,50,64,67,C,500,0
QUEENSLAND,243,328,314,344,248,273,SW,320,400
RAMSAY,253,283,278,265,196,280,C,480,90
RANCHLANDS,417,377,457,379,368,406,NW,30,-10
RED CARPET,165,224,207,190,227,173,S,620,300
REDSTONE,42,35,71,99,144,156,NE,680,80
RENFREW,485,580,738,736,812,764,C,530,50
RICHMOND,387,403,444,405,446,394,C,110,160
RIDEAU PARK,25,34,60,45,64,53,C,350,140
RIVERBEND,349,413,406,527,443,516,SE,450,400
ROCKY RIDGE,225,177,254,279,220,190,NW,-100,-50
ROSEDALE,70,95,154,127,125,118,C,350,40
ROSEMONT,76,62,73,105,115,83,C,300,30
ROSSCARROCK,670,596,691,936,968,973,W,115,120
ROXBORO,45,50,35,35,37,38,C,430,140
ROYAL OAK,215,270,389,381,343,345,NW,-20,-50
RUNDLE,1075,1044,1216,1123,1046,1380,NE,640,230
RUTLAND PARK,113,138,158,155,182,197,W,110,90
SADDLE RIDGE,585,608,757,889,1158,1051,NE,760,140
SAGE HILL,92,99,163,181,237,315,N,190,-85
SANDSTONE VALLEY,186,199,332,244,225,154,N,270,-20
SCARBORO,70,100,75,88,99,115,C,210,145
SCARBORO/ SUNALTA WEST,57,53,80,48,48,40,C,220,100
SCENIC ACRES,286,225,268,266,296,248,NW,-40,-10
SHAGANAPPI,185,309,267,210,248,272,C,145,100
SHAWNEE SLOPES,87,79,115,117,97,102,SW,160,360
SHAWNESSY,1191,1131,1232,1439,1276,1236,SW,160,410
SHERWOOD,75,120,148,164,240,250,N,170,-65
SIGNAL HILL,517,628,601,796,817,900,W,20,160
SILVER SPRINGS,282,301,323,321,343,382,NW,30,10
SILVERADO,179,175,239,244,250,249,SW,160,460
SKYVIEW RANCH,192,211,353,382,525,530,NE,680,100
SOMERSET,302,320,348,343,300,336,SW,160,440
SOUTH CALGARY,466,461,481,530,557,624,C,170,180
SOUTHVIEW,624,650,786,698,715,642,S,450,320
SOUTHWOOD,746,700,887,941,855,881,SW,180,320
SPRINGBANK HILL,227,279,375,361,337,350,W,-80,160
SPRUCE CLIFF,222,394,453,533,520,293,W,140,70
STRATHCONA PARK,195,196,252,238,189,175,W,20,120
SUNALTA,949,1198,1260,1113,1162,1147,C,210,120
SUNDANCE,353,382,380,365,380,307,SW,220,440
SUNNYSIDE,503,452,545,622,794,694,C,350,60
TARADALE,841,705,777,942,960,859,NE,760,160
TEMPLE,1029,892,1176,1196,1108,1072,NE,710,200
THORNCLIFFE,840,739,939,927,866,941,N,380,-5
TUSCANY,439,510,567,646,617,515,NW,-100,-30
TUXEDO PARK,630,668,824,743,735,821,C,430,40
UNIVERSITY HEIGHTS,181,176,176,262,250,288,NW,100,60
UPPER MOUNT ROYAL,140,183,241,251,312,211,C,280,180
VALLEY RIDGE,149,153,176,195,212,193,W,-100,50
VARSITY,680,571,706,683,759,737,NW,60,20
VISTA HEIGHTS,403,354,434,432,458,456,NE,500,230
WALDEN,70,101,152,176,233,276,SW,220,480
WEST HILLHURST,436,483,506,597,543,553,C,250,80
WEST SPRINGS,187,227,270,268,326,291,W,-80,120
WESTGATE,136,130,174,186,208,179,W,80,105
WHITEHORN,1084,1011,1161,1078,1138,1179,NE,640,210
WILDWOOD,180,154,196,204,205,150,W,70,80
WILLOW PARK,567,533,694,673,745,637,SW,250,320
WINDSOR PARK,424,361,469,529,576,570,C,350,200
WINSTON HEIGHTS/MOUNTVIEW,430,407,666,537,500,538,C,530,30
WOODBINE,317,412,409,381,364,269,SW,80,340
WOODLANDS,362,456,428,453,448,432,SW,140,340
